id,mz,rt,ms1_isotopes,S104,S105,S116,S117,S139,S149
309.2033@0.568,309.2033,0.568,NA,125.874626,878.9192,15.298042,11.809929,109.73562,18.219027
103.9552@0.5699,103.9552,0.5699,NA,410.8727,357.59015,272.94403,429.02264,300.69687,350.72894
140.9616@0.5699,140.9616,0.5699,NA,196.33295,162.92845,164.27835,216.89047,202.93729,150.82162
318.7914@0.5699,318.7914,0.5699,NA,148.36813,125.68889,128.54414,150.7052,111.548775,119.178314
391.8052@0.5699,391.8052,0.5699,NA,147.57916,107.23179,85.18808,152.31888,130.79585,95.15434
97.9684@0.5708,97.9684,0.5708,NA,324.623,361.33038,265.6173,384.07477,421.61804,292.6372
392.7921@0.5708,392.7921,0.5708,NA,255.47166000000001,243.42467,229.04268,279.19403,260.4503,232.95625
89.5067@0.5717,89.5067,0.5717,NA,190.67535,184.20892,86.47548,221.48141,213.28297,271.8211
146.9799@0.5717,146.9799,0.5717,NA,1731.54,1146.3547,1174.9323,1621.005,1780.2927,1737.3718
180.9892@0.5717,180.9892,0.5717,NA,442.34927,391.97177,298.72845,484.2474,470.85892,480.06552
246.8617@0.5717,246.8617,0.5717,NA,268.5852,267.1733,200.39813,301.9273,263.86786,226.8265
286.8918@0.5717,286.8918,0.5717,NA,207.11345,188.55153,163.98994,224.61707,205.64052,216.6503
289.8892@0.5717,289.8892,0.5717,NA,236.56053,197.08638,169.90102,240.35165,223.74374,238.85896
288.8903@0.5717,288.8903,0.5717,NA,256.83667,226.40259,301.92508,331.06888,246.35088,319.01022
359.8175@0.5717,359.8175,0.5717,NA,111.3287,97.55999,96.455055,115.88627,94.507545,95.37607
364.7968@0.5717,364.7968,0.5717,NA,303.46463,256.93637,261.6781,321.50375,280.16168,288.05502
496.7109@0.5717,496.7109,0.5717,NA,266.93353,207.23543,175.91156,293.25513,269.26648,244.56885
538.7218@0.5717,538.7218,0.5717,NA,211.7498,165.93983,185.39041,227.7276,212.98625,229.23009
139.9628@0.5727,139.9628,0.5727,NA,365.4607,361.23874,331.56824,477.57855,390.15985,410.12646
141.9583@0.5727,141.9583,0.5727,NA,7709.36,7215.675,7240.8735,8868.156,7726.9736,7892.6035
144.9817@0.5727,144.9817,0.5727,NA,3146.971,2419.8206,3052.5723,4119.039,3143.4255,3664.7349
