id,mz,rt,ms1_isotopes,S110,S111,S134,S144,S98,S99
279.0907@0.7829,279.0907,0.7829,NA,66.228134,3.5858715,0,0,0,3.1702065
152.0703@0.7847,152.0703,0.7847,NA,275.68826,249.15503,274.4096,249.16084,271.11118,253.90071
221.1208@0.7847,221.1208,0.7847,NA,66.09159,90.804054,76.43063,71.92244,75.041115,77.938416
162.091@0.7856,162.091,0.7856,NA,76.08395,72.514114,71.36739,83.96495,68.79694,79.38466
273.1664@0.7856,273.1664,0.7856,NA,104.219154,105.44224,101.05483,90.52799,97.750244,114.757706
282.1338@0.7856,282.1338,0.7856,NA,56.054092,52.60207,48.784874,59.582264,65.31068,49.941425
281.1352@0.7856,281.1352,0.7856,NA,30.990677,43.42977,43.24859,11.123784,56.26533,34.688934
166.0969@0.7866,166.0969,0.7866,NA,519.2896,847.53125,389.5006,612.556,484.3316,911.0191
251.182@0.7875,251.182,0.7875,NA,176.42982,137.70287,223.51,141.3623,185.42851,177.27998
258.2057@0.7875,258.2057,0.7875,NA,58.22808,100.573456,57.65065,60.631493,67.07082,98.23633
335.219@0.7875,335.219,0.7875,NA,138.28636,98.22953,144.04594,72.50593,169.98235,157.35675
183.1014@0.7884,183.1014,0.7884,NA,73.58783,57.33861,58.413948,59.901592,83.76356,71.658905
192.0682@0.7884,192.0682,0.7884,NA,98.283806,112.631805,89.47461,99.80952,105.61995,99.6486
207.1134@0.7884,207.1134,0.7884,NA,255.53154,250.08827,292.59833,298.94012,257.4469,276.6811
183.9873@0.7893,183.9873,0.7893,NA,26.974838,67.59998,36.81059,93.8709,99.36665,74.873245
492.3224@0.7893,492.3224,0.7893,NA,115.375854,91.69697,129.85439,28.309614,170.24051,75.38753
229.1354@0.7912,229.1354,0.7912,NA,112.38667,50.18914,85.62409,48.9748,65.999695,76.754845
123.09@0.7921,123.09,0.7921,NA,55.457584,25.162958,28.211695,33.77875,41.817215,30.503847
189.0778@0.7921,189.0778,0.7921,NA,84.14122,125.35667,77.938705,74.30051,102.34827,91.28483
220.0636@0.7921,220.0636,0.7921,NA,41.59439,66.95709,45.531006,83.022804,6.3157463,67.12038
242.1383@0.7921,242.1383,0.7921,NA,85.22201,86.06581,66.686874,79.41011,97.17934,88.07797
398.2722@0.7921,398.2722,0.7921,NA,40.480343,35.836544,36.042164,40.498737,39.577885,37.71649
195.1475@0.793,195.1475,0.793,NA,60.044147,66.57557,66.126274,80.93885,66.30157,31.070532
788.4756@0.793,788.4756,0.793,NA,48.603466,68.25986,50.45022,33.624676,46.198925,41.54366
117.0365@0.794,117.0365,0.794,NA,69.654015,54.660824,62.11381,53.866314,81.9729,83.89247
135.0473@0.7949,135.0473,0.7949,NA,38.136345,25.051407,33.461792,33.006996,51.747364,41.076374
269.132@0.7949,269.132,0.7949,NA,50.1636,43.051975,29.372465,38.091114,41.02856,40.149277
244.1023@0.7949,244.1023,0.7949,NA,51.278793,57.558723,45.31688,50.700413,65.86476,35.26157
685.4329@0.7949,685.4329,0.7949,NA,128.06541000000001,145.99736,128.00198,139.29854,115.91239,120.65941
109.0757@0.7958,109.0757,0.7958,NA,77.19123,52.19265,82.670425,93.69882,79.84633,75.43025
535.331@0.7958,535.331,0.7958,NA,35.70222,32.681564,26.612148,26.420973,26.459265,8.703127
137.0701@0.7967,137.0701,0.7967,NA,44.12031,32.651665,39.62037,54.62436,44.87289,49.983925
226.1163@0.7967,226.1163,0.7967,NA,102.97811,47.096344,32.45077,81.10425,29.416542,37.583504
237.1595@0.7967,237.1595,0.7967,NA,161.17162,169.18684,134.64098,134.56435,182.69745,142.12181
271.1477@0.7967,271.1477,0.7967,NA,51.43115,43.139435,39.453156,42.72481,56.166325,44.00562
307.013@0.7977,307.013,0.7977,NA,86.929115,66.47734,63.57923,88.18221,54.295963,59.24698
351.2162@0.7977,351.2162,0.7977,NA,349.39395,18.541384,156.336,154.6149,157.08841,134.30663
138.0548@0.7986,138.0548,0.7986,NA,27.265442,40.323147,35.466393,38.628765,50.23981,35.105312
154.0607@0.7986,154.0607,0.7986,NA,78.47589,62.97664,67.903809999999993,79.2991,97.97926,96.89028
203.1176@0.7986,203.1176,0.7986,NA,3332.2703,2867.6975,4328.8296,2899.9749,5007.009,4549.4546
217.1022@0.7986,217.1022,0.7986,NA,43.600636,73.2503,36.321617,39.33616,12.737762,29.319668
219.1126@0.7986,219.1126,0.7986,NA,90.75217,85.02003,82.34551,85.772385,89.201645,73.30308
228.1579@0.7986,228.1579,0.7986,NA,48.263577,37.013893,31.832146,70.90906,92.62326,11.573883
230.1742@0.7986,230.1742,0.7986,NA,547.59717,407.1199,497.55493,490.891,557.7492,486.38672
287.1436@0.7986,287.1436,0.7986,NA,37.273315,27.120544,31.709833,11.278964,35.05329,26.426992
329.157@0.7986,329.157,0.7986,NA,60.008846,80.742256,70.0603,53.73841,69.32486,50.068417
337.2326@0.7986,337.2326,0.7986,NA,65.41791,90.58247,177.1426,188.05424,193.41452,102.31665
405.2265@0.7986,405.2265,0.7986,NA,121.366776,94.85958,192.32335,92.4832,234.36757,173.31055
413.2191@0.7986,413.2191,0.7986,NA,40.566326,28.128763,37.871975,8.2767725,50.93828,33.979485
144.9817@0.7995,144.9817,0.7995,NA,380.25327,334.55167,297.39206,344.20114,240.37184,283.46246
215.1196@0.7995,215.1196,0.7995,NA,264.77853,159.49646,148.91423,199.60602,175.37347,147.64474
223.1438@0.7995,223.1438,0.7995,NA,153.69322,102.91435,194.53049,145.11975,138.18004,120.51734
257.127@0.7995,257.127,0.7995,NA,53.438137,36.502644,61.161472,59.501705,39.052525,45.598248
389.2353@0.7995,389.2353,0.7995,NA,45.104362,27.775814,39.26394,60.943707,48.410442,45.32597
411.2179@0.7995,411.2179,0.7995,NA,275.99185,480.14832,410.0146,287.12997,302.17822,272.76337
412.2194@0.7995,412.2194,0.7995,NA,72.7872,81.99634,63.26131,72.16521,75.86393,73.00619
155.07@0.8005,155.07,0.8005,NA,39.940845,33.76682,36.20258,63.738625,91.258095,41.412914
182.1178@0.8005,182.1178,0.8005,NA,15.698077,32.115765,29.784966,26.517307,25.790096,10.276375
279.0818@0.8004,279.0818,0.8004,NA,26.83276,27.082912,34.132576,31.953299,77.300316,38.51567
317.1931@0.8004,317.1931,0.8004,NA,29.689325,26.751747,34.77184,16.495508,42.018326,6.1139765
365.1927@0.8004,365.1927,0.8004,NA,72.555046,36.733654,45.738472,47.842655,65.54887,36.633175
341.157@0.8005,341.157,0.8005,NA,42.187355,49.887604,43.85581,35.94431,47.992718000000004,49.079323
379.1698@0.8004,379.1698,0.8004,NA,18.53332,36.39107,8.864256,13.749884,16.898483,7.8087664
144.0804@0.8014,144.0804,0.8014,NA,351.52988,307.8356,341.50702,348.67078,317.14825,341.37732
146.9799@0.8014,146.9799,0.8014,NA,171.39514,167.66573,153.7467,194.30426,144.5483,99.69254
309.1667@0.8014,309.1667,0.8014,NA,36.017628,24.71101,32.387104,54.496162,35.46763,42.13352
339.2492@0.8014,339.2492,0.8014,NA,73.95327,76.24204,71.81446,68.96088,78.6554,73.64468
365.2377@0.8014,365.2377,0.8014,NA,59.090645,34.446198,50.236202,44.882286,51.963413,44.193573
178.0528@0.8023,178.0528,0.8023,NA,361.7038,395.4879,153.75182,374.25793,242.04039,223.2981
194.0809@0.8023,194.0809,0.8023,NA,501.55573,460.5626,243.1149,310.9998,251.49408,395.63962
255.1171@0.8023,255.1171,0.8023,NA,48.971355,32.51495,29.870129,22.37822,44.689377,37.361115
295.1147@0.8023,295.1147,0.8023,NA,35.359997,37.71547,40.905216,31.1839,35.990807,30.42869
349.1736@0.8023,349.1736,0.8023,NA,136.59772,351.91608,135.05037,316.9795,352.13168,142.99564
406.2587@0.8023,406.2587,0.8023,NA,148.02153,170.37125,45.313828,144.19014,169.72043,93.27109
130.0624@0.8032,130.0624,0.8032,NA,157.59856,191.16264,100.0852,147.28516,145.09258,87.452415
172.0751@0.8032,172.0751,0.8032,NA,125.92732,143.01456,173.00735,143.30385,179.7126,158.13397
190.086@0.8032,190.086,0.8032,NA,3050.4248,3031.662,2775.7554,3118.7678,2649.5657,2770.4478
265.1047@0.8032,265.1047,0.8032,NA,59.073547,63.416588,65.70734,53.05441,53.795895,47.73907
286.1414@0.8032,286.1414,0.8032,NA,64.20831,75.03574,60.223564,79.54654,52.36345,61.246986
295.1516@0.8032,295.1516,0.8032,NA,28.72125,52.813023,64.35752,46.147198,73.31363,27.688925
319.1536@0.8032,319.1536,0.8032,NA,51.786625,53.785885,50.07432,42.85698,38.947296,46.734074
323.1463@0.8032,323.1463,0.8032,NA,30.109615,21.795273,77.616585,52.218143,69.33348,56.982357
365.1491@0.8032,365.1491,0.8032,NA,38.50169,22.104296,29.0602,29.192947,35.28713,30.34167
367.2042@0.8032,367.2042,0.8032,NA,54.418594,47.062126,75.78692,35.52872,69.44883,101.62123
225.1@0.8042,225.1,0.8042,NA,195.53369,170.29724,255.68832,172.23367,264.3493,227.44379
241.0739@0.8042,241.0739,0.8042,NA,50.22139,35.651104,55.75702,43.744385,57.877453,59.0168
325.1625@0.8042,325.1625,0.8042,NA,44.13086,46.1866,26.130106,80.473465,48.033665,49.938354
335.1462@0.8042,335.1462,0.8042,NA,64.159386,170.36125,65.50137,55.18956,56.408684,56.11423
551.63@0.8042,551.63,0.8042,NA,58.70749,77.48935,54.49876,107.61389,56.86963,76.793945
160.0421@0.8051,160.0421,0.8051,NA,61.224186,64.98854,21.429464,34.906612,39.340847,14.278624
129.0552@0.806,129.0552,0.806,NA,64.604904,86.868614,107.13112,73.017426,52.24543,102.726555
195.0854@0.8079,195.0854,0.8079,NA,29.173891,24.334589,26.414738,24.934921,62.35488,12.641018
247.1445@0.8079,247.1445,0.8079,NA,160.44675,153.17964,148.1686,149.28511,182.6473,150.35085
250.177@0.8079,250.177,0.8079,NA,195.24559,158.55081,160.50693,169.68005,187.23445,168.34964
285.0315@0.8079,285.0315,0.8079,NA,987.2993,767.5402,894.1201,899.78125,680.92053,718.2023
283.0366@0.8088,283.0366,0.8088,NA,52.18132,35.386063,39.200733,21.125616,28.353874,20.43593
615.5777@0.8097,615.5777,0.8097,NA,78.98139,65.53012,64.096405,66.59921,62.22256,69.80123
438.1964@0.8107,438.1964,0.8107,NA,52.08135,58.875187,58.63121,67.41142,65.844826,29.231176
351.2169@0.8116,351.2169,0.8116,NA,157.72775,167.5806,170.15927,157.87453,159.96452,103.75727
187.0869@0.8125,187.08690000000001,0.8125,NA,62.80152,10.59264,41.391525,44.478382,32.58754,43.2981
220.0968@0.8134,220.0968,0.8134,NA,60.09474,102.562614,60.09546,63.50014,52.234943,43.744617
279.1189@0.8134,279.1189,0.8134,NA,40.885574,30.09076,24.445908,14.342887,43.033825,40.01027
413.2225@0.8134,413.2225,0.8134,NA,56.382286,20.252863,12.363903,22.461216,26.5752,39.08811
88.1118@0.8144,88.1118,0.8144,NA,164.54906,65.56035,115.28453,98.915085,95.43195,97.56329
192.1001@0.8144,192.1001,0.8144,NA,43.573627,8.676573,32.82161,47.829224,37.892464,35.96599
276.1224@0.8144,276.1224,0.8144,NA,24.652964,11.902351,8.279863,12.140085,30.529284,6.4553127
293.1357@0.8144,293.1357,0.8144,NA,21.559204,29.751143,33.245605,16.30752,9.501345,22.771059
323.1831@0.8144,323.1831,0.8144,NA,38.13109,34.81108,14.874123,46.009567,59.65311,67.33507
214.143@0.8153,214.143,0.8153,NA,40.65076,47.36332,161.47794,130.36752,30.344128,42.341183
