id,mz,rt,ms1_isotopes,S116,S117,S149,S104,S105,S139
M39T265,38.962974960964,264.56400000002,NA,281025.970796,286350.977463174,282616.332892249,284103.533953683,283016.41413228,276064.196856515
M39T152,38.9629314476534,152.46149999999,NA,5396.84535561151,7667.79925076377,6385.38607181723,5422.49571671757,6240.80534629622,5924.58282015866
M41T265,40.9609860362334,264.56400000002,NA,25283.6753357049,23933.259387418,23616.7323471119,24721.9921221092,24535.9423900599,23244.5889714433
M41T321,41.0383204809176,320.6185,NA,4173.03295747485,4853.22551205446,5811.23084678353,6546.64751484815,7890.86389040321,6828.14131271327
M42T51,42.0334671348571,51.024,NA,5350.22973159826,5853.28429393331,4901.25586685823,5704.74378353246,6800.28234993462,5334.60181404459
M43T297,43.0176833521707,296.59600000002,NA,30623.2551271068,31496.8223014341,30571.3894551958,28574.1052733826,29602.7524427911,29238.8759158947
M44T341,44.0492354152046,340.638,NA,65726.0630850879,53764.6999364324,66923.1515480582,74658.3377971067,77098.2162402786,78706.9542371204
M45T296,45.0333439590685,296.26550000001,NA,17625.0975206824,14444.7675994492,16882.4127828264,16637.238690649,15363.2597165428,14730.8783988049
M45T203,45.0333541930332,203.0085,NA,7548.13881904603,8617.88102455206,8254.29688117616,7691.87464235758,8940.33613885139,6160.61813593333
M46T388,46.0286213408546,388.12750000002,NA,4334.16379640319,4118.50800156744,4239.55276815072,4364.78244956513,5132.88466150336,4798.15211581463
M55T274,55.0540649895263,274.23800000002,NA,86932.1125546502,86433.7966253709,85938.7161874648,92579.9121900373,96289.7762211492,87280.3019243262
M56T274,56.049444401062,273.907,NA,93193.6499750888,96329.7809635692,97158.5663858071,101723.813638802,105804.189555284,97887.1215082687
M56T67,56.0493222219413,66.71099999998,NA,10298.3198973154,9973.08669508648,11478.9335825486,11481.3977438332,11840.1991709054,12427.958271663
M58T321,58.0651361973525,320.95150000001,M59T321,1338064.59532831,1531846.30259827,1787211.74825567,2077390.1467744,2135591.11928388,2201043.67358816
M59T274,59.0489908288911,273.90600000002,NA,15875.2614413137,17500.2829452101,16732.3667536988,16519.4339860131,19251.8336091053,18320.2149513786
M59T224,59.0602228794891,223.79999999998,NA,389089.787658962,422067.678593176,416565.920744366,395802.773098848,511930.784227737,379856.328092131
M59T249,59.0602270399029,249.39250000001,NA,574237.068623625,632938.167523721,618535.487393218,588606.697165539,615225.468828866,615580.822480026
M60T94,60.0442417750436,94.236,NA,5119.46274871641,208072.282524089,10146.0978574219,73966.165063287,55561.6260924269,4645.73108677495
M60T42,60.0442717395171,41.50850000001,NA,41299.2808852471,62729.3951171288,48549.680554187,21483.2315267069,26350.7739947013,54290.6681951417
M60T220,60.0443294007482,220.47450000001,NA,99355.9519742438,98963.8860944763,90455.6448708955,88130.3458383115,100330.849328311,88648.1895870825
M60T127,60.0442186664859,127.44150000002,NA,5749.50323517964,12024.8051882813,3030.9482097812,7794.02142430229,6053.16696759218,4215.86595489047
M60T166,60.0442865091176,165.80500000002,NA,41070.4584533123,159817.652803602,63528.2548120979,46050.9123781739,80532.7475194672,55740.019290231
M60T144,60.0442258246305,143.795,NA,79638.7589911324,84118.2917835313,80690.9818121599,79533.6220488778,87585.1901848123,75257.2924343544
M60T256,60.0556308331131,256.22098437502,NA,15346.7559423321,18092.1369536787,17664.4050821208,17309.444705927,7527.33648721097,17767.2195773121
M60T195,60.0806837749869,194.83949999998,NA,95473.7918709097,104713.290530396,101904.621616823,106528.528761543,113447.890178387,102894.612065732
M61T48,61.0394481239122,48.02849999999,NA,656171.230077157,363084.894261971,380146.291009316,624272.660866471,397606.956910809,379523.585313263
M61T109,61.0395580458777,109.08450000001,M62T109,865857.296775188,880912.780012649,945547.130803086,915682.083938265,929708.323783797,936504.267780749
M61T165,61.0395056325574,164.7175,NA,299837.779015183,234771.743958691,265998.000771763,235343.65959103,224894.953415121,237335.972796183
M61T176,61.039496810706,176.285,NA,35259.1653480083,140452.988767508,217074.592460309,171656.53716868,616237.334214182,181986.137050794
M61T243,61.039503757099,243.377,NA,102065.294110478,107502.060544241,43219.4821713998,102031.115980296,107645.784663123,102154.423473168
M61T144,61.0395119483152,144.141,NA,196002.346539062,209319.779941018,206995.786930377,192871.52661546,431290.365936917,191650.965446704
